character_name,series_name,figure_name,price,probability,figure_photo
Skullpanda,Ancient Castle,Boring Explorer,$14.99,1/12,
Skullpanda,Ancient Castle,Gargoyle,$14.99,1/12,
Skullpanda,Ancient Castle,Vampire,$14.99,1/12,
Skullpanda,Ancient Castle,Skeleton,$14.99,1/12,
Skullpanda,Ancient Castle,Bloody Knight,$14.99,1/144,
Skullpanda,The Mare of Animals,The Fox,$15.99,1/12,https://prod-america-res.popmart.com/default/1_fOSd1qmbs1_1200x1200.jpg
Skullpanda,The Mare of Animals,The Penguin,$15.99,1/12,https://prod-america-res.popmart.com/default/3_XQ39gwHWlI_1200x1200.jpg
Skullpanda,The Mare of Animals,The Unicorn,$15.99,1/12,https://prod-america-res.popmart.com/default/4_ABrR1A77Yw_1200x1200.jpg
Skullpanda,The Mare of Animals,The Rat,$15.99,1/12,https://prod-america-res.popmart.com/default/5_67Tw4Wsnxv_1200x1200.jpg
Skullpanda,The Mare of Animals,The Blue Morpho,$15.99,1/12,https://prod-america-res.popmart.com/default/6_WDRRKu0gux_1200x1200.jpg
Skullpanda,The Mare of Animals,The Passenger Pigeon,$15.99,1/12,https://prod-america-res.popmart.com/default/7_50Cfx2EgHV_1200x1200.jpg
Skullpanda,The Mare of Animals,The Rabbit,$15.99,1/12,https://prod-america-res.popmart.com/default/8_5JltH7gmHw_1200x1200.jpg
Skullpanda,The Mare of Animals,The Polar Bear,$15.99,1/12,https://prod-america-res.popmart.com/default/9_z9N1BmdZr1_1200x1200.jpg
